##################################################
# SentiWordNet v3.0.0 (1 June 2010)
# Copyright 2010 ISTI-CNR.
# All right reserved.
#
# SentiWordNet is distributed under the Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0) license.
# http://creativecommons.org/licenses/by-sa/3.0/
#
# For any information about SentiWordNet:
# Web: http://sentiwordnet.isti.cnr.it
#
# The values PosScore and NegScore are the positivity and negativity
# score assigned by SentiWordNet.
# The objectivity score can be calculated as:
# ObjScore = 1 - (PosScore + NegScore)
#
# This is a shorter version of the list found in the SentiWordNet website, modified
# for this assignment.
#
# -------
# PosScore	NegScore	Word/Term
##################################################
0.5	0	spotless
0	0.75	unclean
0	0.75	smutty
0	0.625	buggy
0	0.875	nasty
0	0.625	lousy
0	0.875	muddy
0	0.5	scummy
0	0.75	profane
0.25	0.75	salacious
0.5	0	clear
0.25	0.625	unclear
0.125	0.125	puzzling
0.25	0.375	vague
0	0	transparent
0	0.75	confused
0	0.125	stupid
0	0	dazzled
1	0	soft
0	0.75	inclement
0.5	0	clever
0.25	0.375	jerky
0	0.25	slow
0.125	0.375	weak
0	0	warm
0	0	impending
0.375	0	intimate
0.375	0	fair
0.375	0	serene
0	0	cloudy
0.5	0	seamless
0	0	pervasive
0	0.625	incendiary
0.25	0.5	explosive
0	0	convenient
0	0	spacious
0	0	cramped
0	0.625	uncomfortable
0	0.625	painful
0.125	0.875	wretched
0	0.5	uneasy
0.625	0	comfortable
0	0.625	disquieting
0	0.625	incommensurate
0	0.25	disproportionate
0.125	0.625	unusual
0	0	extraordinary
0	0	compact
0	0	loose
0.375	0	unparalleled
0.625	0	compassionate
0.5	0	compatible
0.5	0	congenial
0.375	0	harmonious
0.25	0.25	incompatible
0.25	0.5	antagonistic
0.5	0	efficient
0.375	0.625	incompetent
0.125	0.375	inept
0.25	0.25	inefficient
0	0	unqualified
0	0.25	combative
0	0	cooperative
0	0.75	uncompetitive
0	0.75	whiny
0.5	0	integral
0	0.375	undecided
0.125	0	dedicated
0	0	comprehensive
0	0	well-rounded
0.125	0	super
0	0	limited
0.125	0.25	disconcerted
0	0.125	rattled
0.25	0	understandable
0	0.375	obscure
0.125	0.625	missed
0.25	0.375	unintelligible
0.125	0.625	indifferent
0	0	equivocal
0.125	0.625	indeterminate
0	0.625	discordant
0	0.75	dissonant
0	0.125	wasted
0	0	qualified
0	0.625	tentative
0	0.75	confined
0.75	0	sociable
0.375	0.375	incongruous
0	0.75	inconsistent
0.25	0.5	ironical
0	0	well-connected
0	0.5	insurmountable
0	0.375	senseless
0	0	conservative
0.25	0	consistent
0.5	0	prominent
0.25	0.125	striking
0.125	0.5	invisible
0.25	0.75	indiscernible
0.25	0.625	untrue
0.5	0	constructive
0.375	0	creative
0	0.625	destructive
0	0.75	ruinous
0	0.875	cataclysmic
0	0.75	devastating
0	0.375	wasteful
0.375	0	satisfied
0.25	0.5	smug
0.125	0.75	discontented
0	0.625	rebellious
0	0.5	dissatisfied
0	0.5	leaky
0	0	repetitive
0	0.125	unrelenting
0	0.625	sporadic
0	0	intermittent
0	0.25	unpredictable
0	0	discontinuous
0	0	discontinued
0.25	0	dominated
0	0.5	uncontrolled
0	0.5	lawless
0	0.625	errant
0	0	runaway
0	0	moot
0	0.125	disputed
0	0	quarrelsome
0	0.75	awkward
0.125	0.625	stuffy
0.375	0.375	convincing
0.5	0	credible
0	0.5	unconvincing
0	0	fried
0	0	overdone
0.5	0.5	corrupt
0	0	appreciable
0	0	tidy
0	0	spiritual
0.125	0	precise
0	0.75	erroneous
0.125	0.75	fallacious
0.25	0.625	mistaken
0	0.5	incorrigible
0	0.125	poky
0.5	0.25	considerate
0.25	0	thoughtful
0	0.375	inconsiderate
0.875	0	courteous
0.5	0	polite
0.75	0	well-mannered
0.75	0	nice
0.375	0	inventive
0	0.5	uncreative
0	0	unbelievable
0.25	0.25	fabulous
0	0.75	incredulous
0	0.5	critical
0.5	0	evaluative
0	0.625	severe
0	0.5	dire
0.5	0.25	important
0.125	0	decisive
0	0	solid
0	0	split
0	0.125	obsolete
0	0.25	maledict
0.375	0.375	infernal
0	0.75	damaged
0	0	dented
0.375	0.375	undamaged
0	0	deaf
0.625	0	decent
0	0.75	vulgar
0	0.75	indelicate
0	0.625	obscene
0.375	0.375	indecisive
0	0.125	shallow
0	0	profound
0	0.75	recalcitrant
0.5	0	compliant
0	0.625	dejected
0	0.625	glum
0.25	0.5	lonesome
0.625	0.25	elated
0.375	0.375	triumphant
0.125	0.125	sublime
0.556	0.444	delicate
0.25	0.375	fragile
0.375	0	tough
0.125	0.125	brittle
0	0.625	frail
0	0.375	needy
0	0.625	strict
0	0	urgent
0	0	tyrannical
0	0	despotic
0	0.125	totalitarian
0	0	arbitrary
0.375	0	reliable
0	0.75	unreliable
0	0	unsound
0	0.75	helpless
0	0	autonomous
0	0.125	subordinate
0.5	0	desirable
0.125	0.5	unwanted
0	0.125	obliterated
0	0.375	kaput
0	0.5	ruined
0	0.5	tattered
0	0.5	undetermined
0.125	0.125	sinister
0	0.75	hard
0.125	0.5	challenging
0.125	0.75	arduous
0.375	0.375	tricky
0.125	0.75	touchy
0.125	0.875	fractious
0	0.875	troublesome
0	0	hands-down
0.25	0.25	simplified
0.25	0.25	user-friendly
0.5	0.25	dignified
0.25	0	stately
0	0.25	undignified
0	0.625	mortifying
0	0.625	silly
0.375	0.125	diligent
0.25	0.5	negligent
0.125	0.5	slack
0.625	0.375	suave
0	0	straightforward
0	0.625	brutal
0.125	0.5	tortuous
0.25	0.375	indiscreet
0.5	0	appreciative
0.625	0	selective
0	0	indiscriminate
0	0	useable
0.625	0	clear-cut
0.25	0	sharp
0.375	0	razor-sharp
0.125	0.25	nebulous
0	0	diversified
0	0	undocumented
0.25	0.5	domineering
0.125	0.5	bullying
0	0	subservient
0.125	0	supreme
0	0	spectacular
0	0.125	melodramatic
0	0.625	sober
0	0	blunt
0	0	keen
0	0	lively
0.25	0.375	uneventful
0.375	0	zippy
0	0.375	dreary
0.125	0.375	monotonous
0	0.75	stagnant
0.625	0.25	eager
0.125	0.25	reluctant
0	0	untimely
0	0	primitive
0	0.375	rude
0	0.75	worried
0	0.75	poisonous
0.5	0.125	educated
0	0.125	illiterate
0.25	0.125	efficacious
0	0.5	unproductive
0.125	0.5	dragging
0	0.5	strenuous
0.375	0.375	effortless
0.25	0	economical
0.25	0.125	streamlined
0	0.5	forceful
0	0.375	bruising
0.375	0.375	drastic
0.375	0.125	strong
0	0.375	impetuous
0	0.625	wimpy
0.5	0	elegant
0.625	0.125	fine
0.5	0	worthy
0.125	0.25	ineligible
0.5	0	mind-blowing
0	0.625	sloppy
0.375	0.5	chilly
0.75	0	verifiable
0	0	pure
0	0.625	unemployed
0.375	0	enchanted
0.625	0.125	encouraging
0.25	0.25	discouraging
0.125	0.375	intimidating
0	0.625	dispiriting
0	0.375	frustrating
0	0	clogged
0.5	0.375	unencumbered
0.375	0	energetic
0.5	0.125	enhanced
0.5	0.125	enterprising
0.625	0	enthusiastic
0.75	0	glowing
0.25	0.625	tepid
0	0.375	uneven
0.125	0	balanced
0.25	0.125	poised
0	0	stable
0.75	0	admirable
0	0.75	contemptible
0.333	0.667	pitiful
0.625	0	ethical
0	0.75	unethical
0.5	0	complimentary
0.5	0.25	praising
0	0.75	disparaging
0.25	0.25	flattering
0.25	0	adulatory
0	0.75	offensive
0.125	0.875	unhappy
0	0.625	irregular
0	0.625	lumpy
0	0.25	ragged
0.75	0	perfect
0	0.375	odd
0	0.5	irredeemable
0	0.375	spooky
0	0	excited
0.125	0.375	nervous
0.25	0.5	crazy
0.375	0	exciting
0.25	0.25	breathtaking
0.375	0	exhilarating
0.625	0	titillating
0	0.25	damning
0	0.75	nonexistent
0.125	0.375	unexpected
0	0	upset
0.125	0.625	inadvisable
0	0	low-priced
0	0	expired
0	0.5	invalid
0.25	0	unequivocal
0	0.625	inextricable
0	0.25	foul
0.375	0.375	unjust
0.125	0.5	treacherous
0.5	0	loyal
0	0	disloyal
0	0	subversive
0	0.625	unfamiliar
0	0.375	unknown
0.875	0	quaint
0	0	stylish
0.375	0	cool
0.5	0	swanky
0	0	stodgy
0.25	0	snazzy
0	0	fast-paced
0	0	swift
0	0	speedy
0	0	rapid
0	0	lazy
0	0	slow-moving
0.125	0.125	picky
0.375	0.125	meticulous
0	0	fastidious
0	0	overweight
0	0.375	fatal
0	0	lethal
0.75	0	indulgent
0	0.5	disapproving
0.5	0	felicitous
0.625	0	fertile
0	0.875	barren
0	0.625	unfinished
0	0.25	undone
0.375	0.25	unlimited
0.25	0.75	unfit
0.5	0.5	impaired
0	0.5	lame
0	0.75	handicapped
0.375	0	supple
0	0	inflexible
0	0.75	stiff
0.375	0	flexible
0	0.75	intransigent
0.25	0.25	uncompromising
0	0	rigid
0	0	adaptable
0	0	foremost
0	0	strange
0.25	0.125	memorable
0	0.75	unforgiving
0.75	0	fortunate
0.75	0	happy
0.5	0	fortuitous
0.75	0	lucky
0	0.75	fateful
0.125	0.75	unlucky
0.75	0.125	fragrant
0	0.875	musty
0	0.375	sour
0	0	smelling
0	0.625	unsteady
0.375	0	free
0.5	0	unrestricted
0	0	steady
0.5	0	crisp
0	0.25	rotten
0	0.5	tainted
0	0	sweet
0.25	0.125	friendly
0.625	0	genial
0	0.75	unfriendly
0.5	0	fruitful
0.25	0	plentiful
0.125	0	prolific
0	0.25	unsuccessful
0	0.125	overloaded
0	0.25	exhausted
0	0.75	defective
0	0.625	run-down
0	0	mature
0	0	unfunded
0	0.625	unspecified
0	0	proper
0	0	proprietary
0.375	0.125	unselfish
0.125	0.125	chintzy
0.5	0	magnanimous
0.5	0	honest
0	0	sham
0	0.75	forged
0	0.75	phony
0	0.5	unauthentic
0	0.5	mock
0.5	0	talented
0.625	0	lustrous
0	0.5	inglorious
0.625	0	redeeming
0.125	0	satisfactory
0.875	0	superb
0	0.625	bad
0	0.875	unspeakable
0	0.875	frightful
0.125	0.75	hopeless
0	0.875	horrid
0.125	0.75	unskilled
0.222	0.778	mediocre
0	0.75	naughty
0	0.875	poor
0.625	0	saintly
0	0.875	evil
0	0.875	ill-natured
0	0.625	ill-tempered
0	0.25	tetchy
0.25	0.625	sullen
0.5	0.125	graceful
0.125	0.25	unwieldy
0.25	0.125	refined
0.625	0	merciful
0.25	0.25	abrupt
0	0.75	incorrect
0.5	0.25	thankful
0	0	unyielding
0	0	mushy
0.125	0.125	hardened
0.125	0.875	heartless
0	0.625	harmful
0	0.875	abusive
0	0.25	injurious
0	0.875	slanderous
0.125	0.5	counterproductive
0	0.625	mischievous
0.125	0.5	unresolved
0.75	0	healthful
0.875	0	salutary
0.125	0.875	unhealthy
0.25	0.75	inoperable
0.75	0	healthy
0.25	0	wholesome
0	0.75	inflammatory
0	0.875	sickly
0	0	heavenly
0.5	0	godlike
0	0	dense
0	0	hefty
0.125	0.375	taxing
0	0.875	worrying
0.25	0	helpful
0.125	0.25	unhelpful
0	0	steep
0	0	sophisticated
0	0	floored
0	0	squealing
0.375	0	honorable
0	0.875	dishonorable
0	0.625	fraudulent
0.125	0.75	shoddy
0	0.625	false
0.25	0.25	truthful
0	0.625	untruthful
0	0	mendacious
0.125	0.5	shameful
0	0.625	degrading
0	0.625	shabby
0.5	0.25	hopeful
0	0.5	dim
0	0.5	desperate
0	0.375	forlorn
0	0.875	lost
0	0.75	desolate
0	0	bent
0.5	0	hospitable
0.125	0.125	inhospitable
0	0.375	stark
0	0	belligerent
0.875	0	amicable
0	0	scorching
0.125	0.125	snappy
0.25	0.25	inhuman
0.5	0	powerful
0	0.75	inhumane
0.125	0.5	brutish
0.125	0.625	unkind
0.375	0.375	humourous
0.375	0.5	uproarious
0.5	0	witty
0	0.5	precipitous
0	0	distinctive
0.125	0	eventful
0.375	0	distinguished
0.375	0.25	grand
0.75	0	outstanding
0.125	0.25	trivial
0.125	0	impressive
0.875	0	formidable
0.75	0	proud
0.5	0.25	splendid
0	0	palatial
0	0	cleared
0	0	portable
0	0.75	disinclined
0	0	stern
0	0	contagious
0.125	0.125	corrupting
0.5	0	knowledgeable
0.125	0.5	clueless
0	0.875	disingenuous
0	0.25	unsettled
0	0.375	livid
0	0.25	eviscerate
0	0	inviolate
0.125	0.625	guilty
0	0.875	culpable
0	0.375	criminal
0.125	0.5	delinquent
0.125	0.75	punishable
0.5	0	inspiring
0.625	0	exalting
0	0	instructive
0	0	integrated
0.375	0	rational
0.125	0.5	mindless
0.25	0	intelligent
0.375	0	nimble
0.375	0	intelligible
0	0.25	exasperating
0	0.625	weakening
0.375	0	interesting
0.625	0.25	entertaining
0.625	0	intriguing
0	0.25	wearisome
0.25	0.375	extraneous
0.125	0.5	intrusive
0	0.75	officious
0	0	obtrusive
0	0	invasive
0.375	0	invigorating
0.625	0	stimulating
0.5	0	tempting
0.25	0	tantalizing
0	0.25	wrinkled
0.125	0.75	sad
0	0.75	mournful
0	0.375	heavyhearted
0	0.75	melancholy
0	0.75	sorrowful
0	0.625	tortured
0	0.875	bitter
0	0.875	lugubrious
0.125	0.875	woeful
0.5	0.375	jubilant
0.25	0.25	merry
0.375	0	rightful
0.125	0.75	wrongful
0.75	0	gentle
0	0.375	stinging
0	0.5	hurtful
0.375	0	renowned
0.875	0	legendary
0.125	0	well-known
0	0.375	little-known
0.125	0.125	misunderstood
0	0	bulky
0.125	0.125	stupendous
0	0	great
0	0	monumental
0	0.25	dinky
0	0	smallish
0.125	0.375	undersized
0.125	0	lawful
0	0.625	unlawful
0	0.25	outlaw
0	0	drippy
0	0	illegal
0.5	0	readable
0	0.5	illegitimate
0	0.25	spurious
0	0.75	liable
